Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Kellogg's,AllNot ApplicableBran,Cereal,"Wheat Bran, Sugar, Wheat Flour, Corn Starch, Malt Flavoring, Salt, BHT (to preserve freshness)","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"Moderate in Sugar, High in Fiber",Plain Wheat Bran,Unsweetened wheat bran,Yes,1,8,USA,Check packaging for best before date
Kellogg's,AllNot ApplicableBran with Extra Fiber,Cereal,"Wheat Bran, Sugar, Wheat Flour, Corn Starch, Malt Flavoring, Salt, BHT (to preserve freshness)","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"Moderate in Sugar, High in Fiber",Plain Wheat Bran,Unsweetened wheat bran,Yes,1,8,USA,Check packaging for best before date
Kellogg's,Frosted Flakes Strawberry,Cereal,"Corn, Sugar, Malt Flavoring, Salt, Strawberry Flavor, BHT (to preserve freshness)","Processed, Sugary, Artificial Flavors",Yes,"High in Sugar, Artificial Flavors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,2,7,USA,Check packaging for best before date
Kellogg's,Frosted Flakes Chocolate,Cereal,"Corn, Sugar, Malt Flavoring, Salt, Chocolate Flavor, BHT (to preserve freshness)","Processed, Sugary, Artificial Flavors",Yes,"High in Sugar, Artificial Flavors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,2,7,USA,Check packaging for best before date
Kellogg's,Honey Smacks,Cereal,"Corn, Sugar, Oat Flour, Corn Starch, Malt Flavoring, Salt, Honey, BHT (to preserve freshness)","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,USA,Check packaging for best before date
Kellogg's,Smacks,Cereal,"Corn, Sugar, Oat Flour, Corn Starch, Malt Flavoring, Salt, BHT (to preserve freshness)","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,8,USA,Check packaging for best before date
Kellogg's,Froot Loops Marshmallows,Cereal,"Corn, Sugar, Oat Flour, Corn Starch, Modified Corn Starch, Salt, Red 40 Lake, Yellow 6 Lake, Blue 1 Lake, Yellow 5 Lake, BHT (to preserve freshness), Marshmallows (Sugar, Corn Syrup, Gelatin, Dextrose, Modified Food Starch, Artificial Flavor, Red 40 Lake, Yellow 6 Lake, Blue 1 Lake, Yellow 5 Lake, Titanium Dioxide [Color])","Processed, Sugary, Artificial Colors",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,3,16,USA,Check packaging for best before date
Kellogg's,Frosted Flakes with Marshmallows,Cereal,"Corn, Sugar, Malt Flavoring, Salt, BHT (to preserve freshness), Marshmallows (Sugar, Corn Syrup, Gelatin, Dextrose, Modified Food Starch, Artificial Flavor, Red 40 Lake, Yellow 6 Lake, Blue 1 Lake, Yellow 5 Lake, Titanium Dioxide [Color])","Processed, Sugary, Artificial Colors",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,3,11,USA,Check packaging for best before date
Kellogg's,Rice Krispies Treats Cereal,Cereal,"Rice, Sugar, Corn Starch, Malt Flavoring, Salt, BHT (to preserve freshness), Marshmallows (Sugar, Corn Syrup, Gelatin, Dextrose, Modified Food Starch, Artificial Flavor, Red 40 Lake, Yellow 6 Lake, Blue 1 Lake, Yellow 5 Lake, Titanium Dioxide [Color])","Processed, Sugary, Artificial Colors",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Rice Krispies,Unsweetened rice cereal,Yes,3,12,USA,Check packaging for best before date
Kellogg's,Frosted MiniNot ApplicableWheats Bite Size,Cereal,"Whole Wheat, Sugar, Corn Starch, Malt Flavoring, Salt, BHT (to preserve freshness)","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Moderate in Fiber",MiniNot ApplicableWheats (unsweetened),Plain whole wheat cereal,Yes,1,8,USA,Check packaging for best before date
Kellogg's,Special K Red Berries,Cereal,"Rice, Wheat Flour, Sugar, Barley Malt Extract, Dried Berries (Strawberries, Raspberries, Cranberries), Salt, BHT (to preserve freshness)","Processed, Fruit, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Special K Original,Unsweetened version,Yes,1,9,USA,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 1","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 2","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 3","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 4","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 5","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Kellogg's,Kellogg's Chocos,Cereal,"Multigrain Flour Mix (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours {Nature Identical & Artificial (Cream)}, Vitamins, Antioxidant (INS 307b) 6","Processed, Sugary",Yes,"High in Sugar, Artificial Colors",1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Chocos (Unsweetened),Unsweetened version (if available),Yes,2,16,India,Check packaging for best before date
Kellogg's,Kellogg's Corn Flakes,Cereal,"Corn Grits, Sugar, Cereal Extract, Iodized Salt, Vitamins, Antioxidant (INS 307b), Minerals","Processed, Sugary",Yes,High in Sugar,1 serving/day,Yes (occasionally),Yes (occasionally),Yes (occasionally),"High in Sugar, Low in Fiber",Plain Corn Flakes,Unsweetened corn flakes,Yes,1,9,India,Check packaging for best before date
Nature's Own,Nature's Own Honey Wheat Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 1 Sugar, Honey, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten","Processed, Sugary",Yes,"May contain enriched flour, high in sugar",2 slices/day,Yes,Yes,Yes,"Moderate Calories, Sugar",100% Whole Wheat Honey Bread,Made with 100% whole wheat flour and reduced sugar,Yes,2 (possible),18,USA,Check packaging for best before date
Nature's Own,Nature's Own 100% Whole Wheat Bread,Bread,"Whole Wheat Flour, Water, Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,High Fiber Whole Wheat Bread,Made with higher fiber whole wheat flour,Yes,1 (possible),16,USA,Check packaging for best before date
Nature's Own,Nature's Own 12 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 2 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour, Cornmeal",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,High Fiber 12 Grain Bread,Made with higher fiber grains,Yes,1 (possible),27,USA,Check packaging for best before date
Nature's Own,Nature's Own White Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 3 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Bread,Made with 100% whole wheat flour,Yes,1 (possible),17,USA,Check packaging for best before date
Nature's Own,Nature's Own 7 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 4 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 7 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),23,USA,Check packaging for best before date
Nature's Own,Nature's Own 5 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 5 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 5 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),21,USA,Check packaging for best before date
Nature's Own,Nature's Own 3 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 6 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 3 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),19,USA,Check packaging for best before date
Nature's Own,Nature's Own Light Whole Wheat Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 7 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),17,USA,Check packaging for best before date
Nature's Own,Nature's Own Light 7 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 8 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light 7 Grain Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),23,USA,Check packaging for best before date
Nature's Own,Nature's Own Light 12 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 9 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour, Cornmeal",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light 12 Grain Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),27,USA,Check packaging for best before date
Nature's Own,Nature's Own Honey Wheat Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 10 Sugar, Honey, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten","Processed, Sugary",Yes,"May contain enriched flour, high in sugar",2 slices/day,Yes,Yes,Yes,"Moderate Calories, Sugar",100% Whole Wheat Honey Bread,Made with 100% whole wheat flour and reduced sugar,Yes,2 (possible),18,USA,Check packaging for best before date
Nature's Own,Nature's Own 12 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 1 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour, Cornmeal",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,High Fiber 12 Grain Bread,Made with higher fiber grains,Yes,1 (possible),27,USA,Check packaging for best before date
Nature's Own,Nature's Own White Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 2 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Bread,Made with 100% whole wheat flour,Yes,1 (possible),17,USA,Check packaging for best before date
Nature's Own,Nature's Own 7 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 3 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 7 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),23,USA,Check packaging for best before date
Nature's Own,Nature's Own 5 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 4 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 5 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),21,USA,Check packaging for best before date
Nature's Own,Nature's Own 3 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 5 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat 3 Grain Bread,Made with 100% whole wheat flour,Yes,1 (possible),19,USA,Check packaging for best before date
Nature's Own,Nature's Own Light Whole Wheat Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 6 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),17,USA,Check packaging for best before date
Nature's Own,Nature's Own Light 7 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 7 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light 7 Grain Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),23,USA,Check packaging for best before date
Nature's Own,Nature's Own Light 12 Grain Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 8 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten, Sunflower Seeds, Flax Seeds, Millet, Soy Flour, Oat Flour, Rice Flour, Barley Flour, Rye Flour, Cornmeal",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Light 12 Grain Bread,Made with 100% whole wheat flour and reduced calories,Yes,1 (possible),27,USA,Check packaging for best before date
Arnold Bread,Arnold Country White Bread,Bread,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, 9 Sugar, Soybean Oil, Yeast, Cultured Wheat Flour, Salt, Soy Lecithin, Grain Vinegar, Citric Acid, Wheat Gluten",Processed,Yes,May contain enriched flour,2 slices/day,Yes,Yes,Yes,Moderate Calories,100% Whole Wheat Bread,Made with 100% whole wheat flour,Yes,1 (possible),17,USA,Check packaging for best before date
Yoplait,Yoplait Original,Yogurt,"Cultured Milk (Milk, Nonfat Milk), Sugar, Corn Starch, Gelatin, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"Moderate Calories, Sugar",Plain Yogurt with Fruit,Plain yogurt with added fresh or frozen fruit,Yes,1,13,USA,Check packaging for best before date
Yoplait,Yoplait Light,Yogurt,"Skim Milk, Nonfat Milk, Sugar, Corn Starch, Gelatin, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"Low Fat, Moderate Calories, Sugar",Plain Yogurt with Fruit,Plain yogurt with added fresh or frozen fruit,Yes,1,13,USA,Check packaging for best before date
Yoplait,Yoplait Greek 100,Yogurt,"Skim Milk, Milk Protein Concentrate, Sugar, Corn Starch, Gelatin, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"High in Protein, Moderate Calories, Sugar",Plain Greek Yogurt with Fruit,Plain Greek yogurt with added fresh or frozen fruit,Yes,1,13,USA,Check packaging for best before date
Yoplait,Yoplait Whips!,Yogurt,"Skim Milk, Nonfat Milk, Sugar, Corn Starch, Gelatin, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1/2 cup/day,Yes,Yes,Yes,"Moderate Calories, Sugar",Plain Yogurt with Fruit,Plain yogurt with added fresh or frozen fruit,Yes,1,13,USA,Check packaging for best before date
Yoplait,Yoplait Smoothie,Yogurt,"Skim Milk, Nonfat Milk, Sugar, Fruit (Strawberries, Raspberries, Blueberries), Banana Puree, Corn Starch, Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3","Dairy, Fruit, Sugary",Yes,High in Sugar,1 smoothie/day,Yes,Yes,Yes,"Moderate Calories, Sugar",Plain Yogurt Smoothie,Plain yogurt blended with fruit and a small amount of juice,Yes,1,13,USA,Check packaging for best before date
Dannon,Dannon Oikos Greek Yogurt,Yogurt,"Skim Milk, Milk Protein Concentrate, Cane Sugar, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"High in Protein, Moderate Calories, Sugar",Plain Greek Yogurt with Fruit,Plain Greek yogurt with added fresh or frozen fruit,Yes,1,10,USA,Check packaging for best before date
Dannon,Dannon Light & Fit Greek Yogurt,Yogurt,"Skim Milk, Milk Protein Concentrate, Sugar, Corn Starch, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin D3","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"Low Fat, Moderate Calories, Sugar",Plain Greek Yogurt with Fruit,Plain Greek yogurt with added fresh or frozen fruit,Yes,1,11,USA,Check packaging for best before date
Dannon,Dannon DanActive,Yogurt,"Skim Milk, Nonfat Milk, Sugar, Corn Starch, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3, Live and Active Cultures (L. casei Danone)","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"Moderate Calories, Sugar",Plain Yogurt with Fruit,Plain yogurt with added fresh or frozen fruit,Yes,1,14,USA,Check packaging for best before date
Dannon,Dannon Activia,Yogurt,"Skim Milk, Nonfat Milk, Sugar, Corn Starch, Fruit (Strawberries, Raspberries, Blueberries), Modified Food Starch, Natural Flavor, Vitamin A Palmitate, Vitamin D3, Bifidus Regularis","Dairy, Sugary",Yes,High in Sugar,1 cup/day,Yes,Yes,Yes,"Moderate Calories, Sugar",Plain Yogurt with Fruit,Plain yogurt with added fresh or frozen fruit,Yes,1,14,USA,Check packaging for best before date
